var,lambda,log_lambda,coef
T500,1.1016443205554576,0.0968039005164669,0.0
T500,1.1812570952454506,0.16657920636477141,0.0
T500,1.2666232639988229,0.2363545122130756,0.0
T500,1.3581586086216662,0.3061298180613801,0.0
T500,1.456308958316159,0.375905123909684,0.0
SPFH2m,0.0014563089583161596,-6.531850155072453,-0.16745266577485146
SPFH2m,0.001561552361122416,-6.462074849224148,-0.16193385410807268
SPFH2m,0.001674401412284394,-6.392299543375844,-0.15602200008595274
SPFH2m,0.001795405750880349,-6.3225242375275394,-0.1490422905085339
SPFH2m,0.00192515473687783,-6.2527489316792355,-0.14221435667267204
SPFH2m,0.0020642803216520053,-6.182973625830931,-0.13482144248444203
SPFH2m,0.002213460125948372,-6.113198319982627,-0.126973361272584
SPFH2m,0.002373420740281281,-6.043423014134322,-0.11855985847984243
SPFH2m,0.002544941263843094,-5.973647708286018,-0.10953837851123224
SPFH2m,0.0027288570991604753,-5.903872402437713,-0.09986706691773688
SPFH2m,0.0029260640209799547,-5.834097096589408,-0.08940012723064776
SPFH2m,0.0031375225392005317,-5.7643217907411035,-0.07896957712312155
SPFH2m,0.0033642625771033293,-5.6945464848928,-0.07054699677835385
SPFH2m,0.0036073884876638776,-5.624771179044495,-0.060714426207460065
SPFH2m,0.003868084432379367,-5.554995873196191,-0.049791098990661024
SPFH2m,0.0041476201488088015,-5.485220567347886,-0.03810620390309025
SPFH2m,0.004447357134917257,-5.415445261499582,-0.025586857245822058
SPFH2m,0.004768755280345517,-5.345669955651277,-0.01218191349367516
SPFH2m,0.005113379976903147,-5.275894649802973,-0.0
SPFH2m,0.005482909742917148,-5.206119343954669,-0.0
SPFH2m,0.005879144398571105,-5.1363440381063645,-0.0
SPFH2m,0.006304013832053391,-5.066568732258061,-0.0
SPFH2m,0.006759587399210549,-4.996793426409755,-0.0
SPFH2m,0.007248084002487481,-4.92701812056145,-0.0
SPFH2m,0.007771882898244715,-4.857242814713146,-0.0
SPFH2m,0.008333535285090399,-4.787467508864842,-0.0
SPFH2m,0.008935776729668889,-4.717692203016537,-0.0
SPFH2m,0.00958154049042655,-4.647916897168233,-0.0
SPFH2m,0.010273971804249106,-4.578141591319929,0.0
SPFH2m,0.011016443205554576,-4.508366285471625,0.0
SPFH2m,0.011812570952454506,-4.43859097962332,0.0
SPFH2m,0.01266623263998823,-4.368815673775016,0.0
SPFH2m,0.01358158608621666,-4.299040367926711,0.0
SPFH2m,0.014563089583161597,-4.229265062078407,0.0
SPFH2m,0.015615523611224159,-4.159489756230102,0.0
SPFH2m,0.016744014122843938,-4.089714450381798,0.0
